timestamp,action,position,velocity
1728269729.732903,-1.0,-0.47308975,0.0
1728269730.1117408,-1.0,-0.47496712,-0.0018773696
1728269730.4809139,-1.0,-0.47870794,-0.0037408145
1728269730.840639,-1.0,-0.48428443,-0.005576479
1728269731.2135558,-1.0,-0.49165508,-0.007370653
1728269731.5926383,-1.0,-0.50076497,-0.009109864
1728269731.9559433,-1.0,-0.51154596,-0.010780984
1728269732.3320417,-1.0,-0.5239173,-0.01237136
1728269732.6936307,-1.0,-0.5377863,-0.013868971
1728269733.0609252,-1.0,-0.5530489,-0.015262596
1728269733.4386566,-1.0,-0.5695909,-0.016542008
1728269733.8368006,-1.0,-0.5872891,-0.017698161
1728269734.214214,-1.0,-0.60601246,-0.018723385
1728269734.5684538,-1.0,-0.625624,-0.019611562
1728269734.9308228,-1.0,-0.64598227,-0.020358264
1728269735.2998557,-1.0,-0.66694313,-0.020960871
1728269735.6635983,-1.0,-0.68836176,-0.02141862
1728269736.0276585,-1.0,-0.7100944,-0.021732606
1728269736.367483,-1.0,-0.7320001,-0.021905728
1728269736.7206748,-1.0,-0.75394267,-0.02194257
1728269737.0981114,-1.0,-0.7757919,-0.02184924
1728269737.4707665,-1.0,-0.79742503,-0.021633144
1728269737.8408883,-1.0,-0.8187278,-0.02130276
1728269738.198844,-1.0,-0.83959514,-0.020867359
1728269738.5540104,-1.0,-0.8599319,-0.020336749
1728269738.9208016,-1.0,-0.87965286,-0.019721001
1728269739.2959082,-1.0,-0.8986831,-0.01903021
1728269739.66377,-1.0,-0.9169573,-0.018274268
1728269740.025293,-1.0,-0.93442,-0.017462682
1728269740.377853,-1.0,-0.9510244,-0.016604409
1728269740.7382405,-1.0,-0.96673214,-0.015707742
1728269741.0965557,-1.0,-0.98151237,-0.01478023
1728269741.4472747,-1.0,-0.995341,-0.013828612
1728269741.791922,-1.0,-1.0081998,-0.012858803
1728269742.1566846,-1.0,-1.0200757,-0.011875893
1728269742.5605152,-1.0,-1.0309598,-0.010884164
1728269742.980565,-1.0,-1.040847,-0.009887129
1728269743.3906293,-1.0,-1.0497345,-0.008887582
1728269743.7576196,-1.0,-1.0576221,-0.007887655
1728269744.1668556,-1.0,-1.064511,-0.0068888776
1728269744.5549264,-1.0,-1.0704032,-0.0058922493
1728269744.953432,-1.0,-1.0753015,-0.004898305
1728269745.343356,-1.0,-1.0792087,-0.0039071855
1728269745.7555835,-1.0,-1.0821275,-0.0029187046
1728269746.1288948,-1.0,-1.0840598,-0.0019324182
1728269746.4952621,-1.0,-1.0850075,-0.00094768946
1728269746.864018,-1.0,-1.0849713,3.624482e-05
1728269747.221537,-1.0,-1.0839511,0.0010202099
1728269747.5837562,-1.0,-1.0819461,0.0020050285
1728269747.946282,-1.0,-1.0789547,0.0029914568
1728269748.3079944,-1.0,-1.0749745,0.0039801197
1728269748.6590068,-1.0,-1.070003,0.0049714446
1728269748.996609,-1.0,-1.0640374,0.005965596
1728269749.3805814,-1.0,-1.057075,0.0069624064
1728269749.7422414,-1.0,-1.0491138,0.007961309
1728269750.1121595,-1.0,-1.0401524,0.008961267
1728269750.469597,-1.0,-1.0301918,0.009960708
1728269750.8134286,-1.0,-1.0192343,0.010957455
1728269751.1717684,-1.0,-1.0072856,0.011948664
1728269751.51048,-1.0,-0.99435484,0.012930764
1728269751.8710027,-1.0,-0.98045546,0.013899416
1728269752.2185528,-1.0,-0.965606,0.01484947
1728269752.5833366,-1.0,-0.949831,0.01577495
1728269752.9344802,-1.0,-0.933162,0.016669054
1728269753.298983,-1.0,-0.9156378,0.01752418
1728269753.6590564,-1.0,-0.8973058,0.018331978
1728269754.0092824,-1.0,-0.87822235,0.01908345
1728269754.3490462,-1.0,-0.8584533,0.019769052
1728269754.6974638,-1.0,-0.8380744,0.02037887
1728269755.043486,-1.0,-0.8171716,0.020902807
1728269755.3920925,-1.0,-0.7958408,0.021330798
1728269755.7436068,-1.0,-0.77418774,0.02165307
1728269756.1289244,-1.0,-0.7523273,0.021860395
1728269756.50399,-1.0,-0.730383,0.021944372
1728269756.8820667,-1.0,-0.7084853,0.021897677
1728269757.2504668,-1.0,-0.686771,0.021714313
1728269757.6003842,-1.0,-0.6653812,0.02138981
1728269757.9462898,-1.0,-0.6444598,0.020921404
1728269758.3014839,-1.0,-0.62415165,0.02030813
1728269758.6554542,-1.0,-0.6046007,0.01955089
1728269759.0121183,-1.0,-0.5859483,0.018652443
1728269759.3655028,-1.0,-0.56833094,0.017617343
1728269759.7238631,-1.0,-0.5518791,0.016451828
1728269760.0663328,-1.0,-0.53671545,0.015163676
1728269760.4301727,-1.0,-0.52295345,0.013762025
1728269760.7882693,-1.0,-0.5106963,0.012257185
1728269761.1387086,-1.0,-0.5000358,0.010660441
1728269761.4931402,-1.0,-0.49105194,0.008983865
1728269761.8513331,-1.0,-0.4838118,0.007240152
1728269762.210223,-1.0,-0.47836933,0.0054424577
1728269762.572191,-1.0,-0.47476506,0.0036042768
1728269762.9232852,-1.0,-0.47302574,0.0017393327
1728269763.2794886,-1.0,-0.47316426,-0.0001385116
1728269763.6302524,-1.0,-0.47517958,-0.002015329
1728269763.9833176,-1.0,-0.47905678,-0.0038771972
1728269764.3503447,-1.0,-0.48476705,-0.005710269
1728269764.6963649,-1.0,-0.4922679,-0.0075008487
1728269765.0508387,-1.0,-0.5015034,-0.0092354845
1728269765.4284022,-1.0,-0.5124045,-0.010901079
1728269765.7940297,-1.0,-0.5248895,-0.01248502
1728269766.165115,-1.0,-0.53886485,-0.013975339
1728269766.5274808,-1.0,-0.55422574,-0.015360883
1728269767.189693,-1.0,-0.5708572,-0.016631505
1728269767.5645797,-1.0,-0.5886355,-0.017778253
1728269767.9156053,-1.0,-0.6074291,-0.018793566
1728269768.3026376,-1.0,-0.6271005,-0.019671446
1728269768.6878664,-1.0,-0.64750814,-0.020407597
1728269769.0375614,-1.0,-0.6685077,-0.020999532
1728269769.4062617,-1.0,-0.68995434,-0.021446627
1728269769.7708554,-1.0,-0.71170443,-0.021750111
1728269770.1502976,-1.0,-0.7336174,-0.021913014
1728269770.542926,-1.0,-0.7555575,-0.02194004
1728269770.9127657,-1.0,-0.7773949,-0.021837395
1728269771.2883515,-1.0,-0.7990075,-0.021612577
1728269771.6505752,-1.0,-0.8202816,-0.021274129
1728269772.0315175,-1.0,-0.841113,-0.020831373
1728269772.4021578,-1.0,-0.8614071,-0.020294143
1728269772.7813904,-1.0,-0.8810796,-0.019672522
1728269773.1592057,-1.0,-0.9000562,-0.018976595
1728269773.5289042,-1.0,-0.91827244,-0.018216236
1728269773.8909154,-1.0,-0.93567336,-0.01740091
1728269774.2472138,-1.0,-0.95221287,-0.016539533
1728269774.603538,-1.0,-0.9678532,-0.015640346
1728269774.9600463,-1.0,-0.98256403,-0.014710837
1728269775.3158262,-1.0,-0.99632174,-0.013757687
1728269775.6689086,-1.0,-1.0091085,-0.01278675
1728269776.0308356,-1.0,-1.0209116,-0.011803053
1728269776.388684,-1.0,-1.0317224,-0.010810822
1728269776.7473018,-1.0,-1.041536,-0.0098135155
1728269777.1070051,-1.0,-1.0503498,-0.008813876
1728269777.4659722,-1.0,-1.0581638,-0.007813987
1728269777.8200476,-1.0,-1.0649791,-0.00681534
1728269778.1782901,-1.0,-1.0707979,-0.005818896
1728269778.5534868,-1.0,-1.075623,-0.0048251594
1728269778.916038,-1.0,-1.0794573,-0.003834244
1728269779.275947,-1.0,-1.0823032,-0.0028459427
