timestamp,action,position,velocity
1728260253.2693708,2957173900000.0,-0.48005667,0.0
1728260253.6237688,6783845300000.0,-0.4788823,0.0011743623
1728260253.9856644,-2843814400000.0,-0.47654232,0.0023399938
1728260254.3423276,-4596369000000.0,-0.47605407,0.0004882415
1728260254.7006478,8446955500000.0,-0.4774212,-0.0013671359
1728260255.053727,-8368223000000.0,-0.47763357,-0.00021236106
1728260255.4065797,3025887600000.0,-0.47968957,-0.0020560087
1728260255.7636406,17387435000000.0,-0.48057395,-0.0008843762
1728260256.1115384,528518300000.0,-0.48028013,0.0002938329
1728260256.4618886,-3541128200000.0,-0.47881028,0.0014698568
1728260256.8235042,13799610000000.0,-0.47917533,-0.00036504702
1728260257.1717198,14255518000000.0,-0.47837257,0.0008027625
1728260257.5338292,-2336316200000.0,-0.47640797,0.0019646056
1728260257.8876612,1585970800000.0,-0.47629613,0.00011185575
1728260258.251068,-7075058000000.0,-0.47503784,0.0012582754
1728260258.603112,11150743000000.0,-0.4756425,-0.0006046447
1728260258.9592135,7358787000000.0,-0.47510558,0.0005369227
1728260259.3137772,4913530700000.0,-0.47343108,0.0016745053
1728260259.668686,7226228500000.0,-0.47063142,0.0027996665
1728260260.0246196,-8102043700000.0,-0.46672735,0.003904081
1728260260.3813083,-21802516000.0,-0.46474773,0.0019796116
1728260260.7420926,16993744000000.0,-0.4647072,4.0518204e-05
1728260261.0995219,-115864340000.0,-0.46360606,0.0011011256
1728260261.4589992,-5764422000000.0,-0.46445245,-0.00084639457
1728260261.8158693,-1047716000000.0,-0.46724012,-0.002787668
1728260262.156237,11313773000000.0,-0.47194847,-0.004708347
1728260262.4933722,1688238400000.0,-0.47554266,-0.003594176
1728260262.8233118,28700480000000.0,-0.47799602,-0.0024533495
1728260263.1565514,8174852000000.0,-0.47929034,-0.0012943043
1728260263.4902062,-1999515300000.0,-0.47941598,-0.00012563981
1728260263.8301408,-3294983000000.0,-0.48137203,-0.0019560412
1728260264.158502,-2377387000000.0,-0.48514393,-0.0037718953
1728260264.5075204,2139402300000.0,-0.49070358,-0.0055596675
1728260264.8396795,20737176000000.0,-0.49500957,-0.004305981
1728260265.1740468,-1358009300000.0,-0.4980297,-0.0030201373
1728260265.5065367,7355070000000.0,-0.5027414,-0.0047117174
1728260265.831521,9661590000000.0,-0.5061094,-0.0033680457
1728260266.1515493,-1537909700000.0,-0.50810856,-0.0019991556
1728260266.4816463,15851337000000.0,-0.5117239,-0.0036152904
1728260266.8015172,14377836000000.0,-0.51392823,-0.0022043332
1728260267.127542,-8024715400000.0,-0.51470506,-0.0007768521
1728260267.4631038,5469077000000.0,-0.5170486,-0.002343547
1728260267.8032606,-12520136000000.0,-0.5179413,-0.00089267024
1728260268.1380482,-300673760000.0,-0.5203764,-0.0024350993
1728260268.478453,-5816643500000.0,-0.5243356,-0.003959267
1728260268.8015046,2950031700000.0,-0.5297894,-0.0054537407
1728260269.1258893,6921774400000.0,-0.5336967,-0.0039073136
1728260269.456613,17366543000000.0,-0.5360283,-0.0023315907
1728260269.7796512,11008189000000.0,-0.5367667,-0.0007383907
1728260270.1130116,7296360000000.0,-0.5359064,0.0008603431
1728260270.4483144,14314168000000.0,-0.53345376,0.0024526292
1728260270.773055,9285728000000.0,-0.52942723,0.004026531
1728260271.113258,7988841000000.0,-0.523857,0.005570242
1728260271.436949,-758750000000.0,-0.51678485,0.0070721786
1728260271.7636878,17229701000000.0,-0.5112638,0.0055210777
1728260272.0948849,-4334478400000.0,-0.5043352,0.0069285864
