timestamp,action,position,velocity
1727834541.468132,23812781000000.0,-0.5019356,0.0
1727834541.8211503,25513834000000.0,-0.50059795,0.0013376405
1727834542.158096,23786074000000.0,-0.49793267,0.002665271
1727834542.4930012,22815456000000.0,-0.4939597,0.0039729653
1727834542.832736,28239250000000.0,-0.48870873,0.005250965
1727834543.1792123,26698840000000.0,-0.48221898,0.006489767
1727834543.5108588,24685847000000.0,-0.47453877,0.0076802154
1727834543.8412886,27006102000000.0,-0.46572518,0.008813593
1727834544.187659,27530214000000.0,-0.45584348,0.009881718
1727834544.51948,25778132000000.0,-0.44496644,0.010877046
1727834544.8615246,26812386000000.0,-0.4331737,0.011792758
1727834545.1973288,26197409000000.0,-0.42055082,0.012622857
1727834545.550314,25748836000000.0,-0.40718856,0.013362248
1727834545.9010153,24944369000000.0,-0.39318174,0.014006811
1727834546.2546544,27808830000000.0,-0.37862828,0.014553448
1727834546.5834458,22258622000000.0,-0.36362815,0.015000123
1727834546.921104,21208563000000.0,-0.34828228,0.0153458705
1727834547.2579305,25039812000000.0,-0.3326915,0.015590784
1727834547.6117663,23073175000000.0,-0.3169555,0.01573598
1727834547.9562244,25333714000000.0,-0.30117196,0.015783535
1727834548.294028,27377998000000.0,-0.28543556,0.015736405
1727834548.6331582,27771537000000.0,-0.26983723,0.015598325
1727834548.9896145,23609370000000.0,-0.25446352,0.015373695
1727834549.341332,26517648000000.0,-0.23939607,0.015067454
1727834549.7380283,24958432000000.0,-0.2247111,0.0146849565
1727834550.1288948,25894320000000.0,-0.21047927,0.0142318355
1727834550.4630942,23852451000000.0,-0.1967654,0.013713887
1727834550.8234422,23907277000000.0,-0.18362844,0.0131369475
1727834551.1483717,24378006000000.0,-0.17112164,0.012506794
1727834551.5270722,24175890000000.0,-0.1592926,0.011829052
1727834551.9503474,25133211000000.0,-0.14818348,0.01110912
1727834552.3315427,27410210000000.0,-0.13783138,0.01035211
1727834552.7020292,26927878000000.0,-0.12826857,0.009562803
1727834553.0731726,24365582000000.0,-0.119522944,0.008745625
1727834553.4530478,25167518000000.0,-0.11161832,0.007904625
1727834553.832489,26242215000000.0,-0.10457484,0.0070434795
1727834554.1918209,26270240000000.0,-0.09840933,0.0061655026
1727834554.50891,26411935000000.0,-0.09313567,0.005273663
1727834554.8200028,24088769000000.0,-0.088765055,0.004370615
1727834555.158436,24597167000000.0,-0.085306324,0.0034587337
1727834555.5062063,21946264000000.0,-0.08276617,0.002540156
1727834555.836244,27563527000000.0,-0.08114934,0.001616826
1727834556.178579,26217235000000.0,-0.0804588,0.00069054455
1727834556.525171,25419504000000.0,-0.08069578,-0.00023698017
1727834556.8661494,26295178000000.0,-0.08185986,-0.0011640794
1727834557.2044759,29085401000000.0,-0.083948925,-0.0020890709
1727834557.5442688,25958482000000.0,-0.08695913,-0.0030102055
1727834557.874093,25755747000000.0,-0.090884745,-0.0039256155
1727834558.2171655,25731906000000.0,-0.09571801,-0.0048332643
1727834558.554847,22055804000000.0,-0.10144891,-0.0057308986
1727834558.928087,27486407000000.0,-0.10806491,-0.0066160057
1727834559.285582,24647507000000.0,-0.11555069,-0.0074857743
1727834559.6396854,23703110000000.0,-0.123887755,-0.008337063
1727834559.9985538,26750850000000.0,-0.13305412,-0.009166374
1727834560.3444273,26894481000000.0,-0.14302397,-0.009969841
1727834560.6892877,25521410000000.0,-0.15376718,-0.010743221
1727834561.038974,26456013000000.0,-0.1652491,-0.011481906
1727834561.4128547,26903560000000.0,-0.17743003,-0.01218094
1727834561.7713792,26142875000000.0,-0.19026509,-0.012835058
1727834562.1363275,28446588000000.0,-0.20370382,-0.013438737
1727834562.498282,26702686000000.0,-0.21769008,-0.013986264
